#SampleID	Cow	Time	Group
#q2:types	categorical	categorical	categorical
c1x1	1	1	CON
c1x1	1	1	CON
c1x32i	1	32	LPS
c1x32i	1	32	LPS
c1x32	1	32	CON
c1x32	1	32	CON
c1x34i	1	34	LPS
c1x34i	1	34	LPS
c2x1	2	1	CON
c2x1	2	1	CON
c2x32i	2	32	LPS
c2x32i	2	32	LPS
c2x32	2	32	CON
c2x32	2	32	CON
c2x34i	2	34	LPS
c2x34i	2	34	LPS
c3x1	3	1	CON
c3x1	3	1	CON
c3x32i	3	32	LPS
c3x32i	3	32	LPS
c3x32	3	32	CON
c3x32	3	32	CON
c3x34i	3	34	LPS
c3x34i	3	34	LPS
c4x1	4	1	CON
c4x1	4	1	CON
c4x32i	4	32	LPS
c4x32i	4	32	LPS
c4x32	4	32	CON
c4x32	4	32	CON
c4x34i	4	34	LPS
c4x34i	4	34	LPS
c5x1	5	1	CON
c5x1	5	1	CON
c5x32i	5	32	LPS
c5x32i	5	32	LPS
c5x32	5	32	CON
c5x32	5	32	CON
c5x34i	5	34	LPS
c5x34i	5	34	LPS
c6x1	6	1	CON
c6x1	6	1	CON
c6x32i	6	32	LPS
c6x32i	6	32	LPS
c6x32	6	32	CON
c6x32	6	32	CON
c6x34i	6	34	LPS
c6x34i	6	34	LPS
c7x1	7	1	CON
c7x1	7	1	CON
c7x32i	7	32	LPS
c7x32i	7	32	LPS
c7x32	7	32	CON
c7x32	7	32	CON
c7x34i	7	34	LPS
c7x34i	7	34	LPS
c8x1	8	1	CON
c8x1	8	1	CON
c8x32i	8	32	LPS
c8x32i	8	32	LPS
c8x32	8	32	CON
c8x32	8	32	CON
c8x34i	8	34	LPS
c8x34i	8	34	LPS
c9x1	9	1	CON
c9x1	9	1	CON
c9x32i	9	32	LPS
c9x32i	9	32	LPS
c9x32	9	32	CON
c9x32	9	32	CON
c9x34i	9	34	LPS
c9x34i	9	34	LPS
c10x1	10	1	CON
c10x1	10	1	CON
c10x32i	10	32	LPS
c10x32i	10	32	LPS
c10x32	10	32	CON
c10x32	10	32	CON
c10x34i	10	34	LPS
c10x34i	10	34	LPS
c11x1	11	1	CON
c11x1	11	1	CON
c11x32i	11	32	LPS
c11x32i	11	32	LPS
c11x32	11	32	CON
c11x32	11	32	CON
c11x34i	11	34	LPS
c11x34i	11	34	LPS
c12x1	12	1	CON
c12x1	12	1	CON
c12x32i	12	32	LPS
c12x32i	12	32	LPS
c12x32	12	32	CON
c12x32	12	32	CON
c12x34i	12	34	LPS
c12x34i	12	34	LPS
c13x1	13	1	CON
c13x1	13	1	CON
c13x32i	13	32	LPS
c13x32i	13	32	LPS
c13x32	13	32	CON
c13x32	13	32	CON
c13x34i	13	34	LPS
c13x34i	13	34	LPS
c14x1	14	1	CON
c14x1	14	1	CON
c14x32i	14	32	LPS
c14x32i	14	32	LPS
c14x32	14	32	CON
c14x32	14	32	CON
c14x34i	14	34	LPS
c14x34i	14	34	LPS
c15x1	15	1	CON
c15x1	15	1	CON
c15x32i	15	32	LPS
c15x32i	15	32	LPS
c15x32	15	32	CON
c15x32	15	32	CON
c15x34i	15	34	LPS
c15x34i	15	34	LPS
c16x1	16	1	CON
c16x1	16	1	CON
c16x32i	16	32	LPS
c16x32i	16	32	LPS
c16x32	16	32	CON
c16x32	16	32	CON
c16x34i	16	34	LPS
c16x34i	16	34	LPS
c17x1	17	1	CON
c17x1	17	1	CON
c17x32i	17	32	LPS
c17x32i	17	32	LPS
c17x32	17	32	CON
c17x32	17	32	CON
c17x34i	17	34	LPS
c17x34i	17	34	LPS
c18x1	18	1	CON
c18x1	18	1	CON
c18x32i	18	32	LPS
c18x32i	18	32	LPS
c18x32	18	32	CON
c18x32	18	32	CON
c18x34i	18	34	LPS
c18x34i	18	34	LPS