day,reactor,bZEL ,aZEL ,ZAN ,ZEN ,DON,DOM
8,3,4.593,5.9,0,26.931,224.242,12.686
8,4,5.233,6.289,0,23.815,300.296,22.336
8,7,4.497,7.104,0,26.879,256.787,11.82
8,8,6.806,8.693,0,39.976,214.195,22.112
8,11,6.349,9.276,0,85.569,672.692,20.473
8,12,5.416,10.822,0,32.574,302.9,22.517
9,3,4.864,6.398,0,34.906,382.049,32.409
9,4,6.371,9.266,0,31.175,360.546,66.926
9,7,4.506,7.507,0,37.998,273.685,28.45
9,8,8.192,9.263,0,43.858,320.143,79.866
9,11,4.883,7.007,0,32.77,339.86,40.383
9,12,9.386,16.871,0,51.261,384.708,69.297
10,3,6.445,9.986,0,64.938,340.622,99.672
10,4,5.969,8.574,0,46.686,297.377,185.167
10,7,6.534,9.065,0,48.634,216.837,109.071
10,8,10.805,14.826,0,72.063,218.244,241.788
10,11,5.416,7.771,0,46.345,368.83,113.503
10,12,6.851,11.276,0,41.969,245.451,207.281
11,3,4.885,7.251,0,49.09,200.92,211.026
11,4,7.382,11.524,0,49.567,71.21,418.828
11,7,10.579,14.962,0,77.295,54.603,375.936
11,8,10.561,15.717,0,64.068,28.996,406.181
11,11,5.672,8.015,0,53.5,41.802,435.621
11,12,6.878,11.984,0,45.81,8.219,459.04
12,3,4.624,7.536,0,53.579,0,288.532
12,4,8.325,12.809,0,44.367,0,383.202
12,7,7.851,13.598,0,54.339,0,308.804
12,8,7.538,10.724,0,46.576,0,382.252
12,11,4.085,7.113,0,45.211,0,344.768
12,12,7.609,12.734,0,45.76,0,490.186
13,3,3.302,6.146,0,44.68,0,302.228
13,4,6.188,12.289,0,37.396,0,342.562
13,7,5.975,11.432,0,44.698,0,326.942
13,8,8.072,12.518,0,54.516,0,384.053
13,11,3.507,6.134,0,36.878,0,376.31
13,12,8.637,15.053,0,52.183,10.601,461.795
14,3,4.461,9.402,0,58.721,0,314.314
14,4,8.21,20.07,0,47.394,0,458.66
14,7,4.569,8.689,0,42.325,0,313.159
14,8,6.367,9.555,0,42.012,9.294,396.431
14,11,4.202,7.753,0,42.686,0,437.525
14,12,9.309,20.622,0,58.923,0,433.694