ID,Cow,Time,Model,Run
11L2,Elfi,1,L,2
11L3,Elfi,1,L,3
11S1,Elfi,1,S,1
12L2,Elfi,2,L,2
12S1,Elfi,2,S,1
13L2,Elfi,3,L,2
13S1,Elfi,3,S,1
14L2,Elfi,4,L,2
14S1,Elfi,4,S,1
15S1,Elfi,5,S,1
21L1,Narbe,1,L,1
21S2,Narbe,1,S,2
21S3,Narbe,1,S,3
22L1,Narbe,2,L,1
22S2,Narbe,2,S,2
23L1,Narbe,3,L,1
23S2,Narbe,3,S,2
24L1,Narbe,4,L,1
24S2,Narbe,4,S,2
25S2,Narbe,5,S,2
31L2,Edit,1,L,2
31L3,Edit,1,L,3
31S1,Edit,1,S,1
32L2,Edit,2,L,2
32S1,Edit,2,S,1
33L2,Edit,3,L,2
33S1,Edit,3,S,1
34L2,Edit,4,L,2
34S1,Edit,4,S,1
35S1,Edit,5,S,1
41L1,Nevada,1,L,1
41S2,Nevada,1,S,2
41S3,Nevada,1,S,3
42L1,Nevada,2,L,1
42S2,Nevada,2,S,2
43L1,Nevada,3,L,1
43S2,Nevada,3,S,2
44L1,Nevada,4,L,1
44S2,Nevada,4,S,2
45S2,Nevada,5,S,2
51L2,Elsa,1,L,2
51L3,Elsa,1,L,3
51S1,Elsa,1,S,1
52L2,Elsa,2,L,2
52S1,Elsa,2,S,1
53L2,Elsa,3,L,2
53S1,Elsa,3,S,1
54L2,Elsa,4,L,2
54S1,Elsa,4,S,1
55S1,Elsa,5,S,1
61L1,Elmi,1,L,1
61S2,Elmi,1,S,2
61S3,Elmi,1,S,3
62L1,Elmi,2,L,1
62S2,Elmi,2,S,2
63L1,Elmi,3,L,1
63S2,Elmi,3,S,2
64L1,Elmi,4,L,1
64S2,Elmi,4,S,2
65S2,Elmi,5,S,2
71L2,Ricki,1,L,2
71L3,Ricki,1,L,3
71S1,Ricki,1,S,1
72L2,Ricki,2,L,2
72S1,Ricki,2,S,1
73L2,Ricki,3,L,2
73S1,Ricki,3,S,1
74L2,Ricki,4,L,2
74S1,Ricki,4,S,1
75S1,Ricki,5,S,1
81L1,Bergrose,1,L,1
81S2,Bergrose,1,S,2
81S3,Bergrose,1,S,3
82L1,Bergrose,2,L,1
82S2,Bergrose,2,S,2
83L1,Bergrose,3,L,1
83S2,Bergrose,3,S,2
84L1,Bergrose,4,L,1
84S2,Bergrose,4,S,2
85S2,Bergrose,5,S,2