col_num,Fermicute,Bacteria
1,y,y
2,y,y
3,y,y
4,y,y
5,y,y
6,y,y
7,n,y
8,n,y
9,y,y
10,n,y
11,n,y
12,y,y
13,y,y
14,y,y
15,y,y
16,y,y
17,y,y
18,y,y
19,n,y
20,n,y
21,y,y
22,y,y
23,y,y
24,y,y
25,y,y
26,y,y
27,y,y
28,y,y
29,y,y
30,n,y
31,n,y
32,n,y
33,y,y
34,y,y
35,n,y
36,y,y
37,y,y
38,y,y
39,n,n
40,n,y
41,n,y
42,y,y
43,n,n
44,y,y
45,y,y
46,y,y
47,y,y
48,y,y
49,y,y
50,y,y
51,y,y
52,y,y
53,-,y
54,y,y
55,y,y
56,y,y
57,y,y
58,y,y
59,y,y
60,n,y
61,y,y
62,y,y
63,n,y
64,n,y
65,y,y
66,n,y
67,n,y
68,y,y
69,y,y
70,y,y
71,y,y
72,y,y
73,y,y
74,y,y
75,y,y
76,y,y
77,y,y
78,n,y
79,n,n
80,y,y
81,n,n
82,n,n
83,n,y
84,n,y
85,n,y
86,n,y
87,n,y
88,n,y
89,n,y
90,n,y
91,n,y
92,n,y
93,n,n
94,n,y
95,y,y
96,y,y
97,y,y
98,y,y
101,y,y
102,y,y
103,y,y
104,y,y
105,y,y
106,y,y
107,y,y
108,-,y
109,y,y
111,y,y