	Genus	Site	Group	Age	Pack	Antibiotic	Sex
H5f	Homo	Feces	Human	Adult	NA	long_ago	female
H1f	Homo	Feces	Human	Adult	NA	long_ago	female
H6f	Homo	Feces	Human	Adult	NA	recently	female
H2f	Homo	Feces	Human	Adult	NA	long_ago	female
H8f	Homo	Feces	Human	Adult	NA	long_ago	female
H7f	Homo	Feces	Human	Adult	NA	long_ago	female
H4f	Homo	Feces	Human	Adult	NA	never	female
H3f	Homo	Feces	Human	Adult	NA	long_ago	female
H9f	Homo	Feces	Human	Adult	NA	long_ago	female
H10f	Homo	Feces	Human	Adult	NA	never	female
H11f	Homo	Feces	Human	Adult	NA	long_ago	female
H12f	Homo	Feces	Human	Adult	NA	recently	female
PD6f	Canis	Feces	PetDog	Old	NA	long_ago	male
PD4f	Canis	Feces	PetDog	Old	NA	recently	male
PD3f	Canis	Feces	PetDog	Adult	NA	never	male
PD1f	Canis	Feces	PetDog	Old	NA	recently	male
PD2f	Canis	Feces	PetDog	Young	NA	recently	female
PD9f	Canis	Feces	PetDog	Old	NA	long_ago	male
PD7f	Canis	Feces	PetDog	Old	NA	long_ago	male
PD8f	Canis	Feces	PetDog	Adult	NA	never	male
PD11f	Canis	Feces	PetDog	Old	NA	long_ago	male
PD5f	Canis	Feces	PetDog	Young	NA	recently	female
PD10f	Canis	Feces	PetDog	Old	NA	long_ago	female
PD12f	Canis	Feces	PetDog	Young	NA	never	female
D12f	Canis	Feces	OutdoorDog	Adult	D_A	never	male
D15f	Canis	Feces	OutdoorDog	Adult	D_B	recently	male
D8f	Canis	Feces	OutdoorDog	Adult	D_A	long_ago	female
D6f	Canis	Feces	OutdoorDog	Adult	D_C	long_ago	female
D14f	Canis	Feces	OutdoorDog	Old	D_D	long_ago	male
D5f	Canis	Feces	OutdoorDog	Adult	D_C	long_ago	female
D9f	Canis	Feces	OutdoorDog	Adult	D_E	long_ago	male
D3f	Canis	Feces	OutdoorDog	Old	D_E	long_ago	male
D10f	Canis	Feces	OutdoorDog	Adult	D_E	long_ago	female
D13f	Canis	Feces	OutdoorDog	Old	D_D	long_ago	female
D1f	Canis	Feces	OutdoorDog	Adult	D_F	long_ago	male
D7f	Canis	Feces	OutdoorDog	Adult	D_C	long_ago	female
D4f	Canis	Feces	OutdoorDog	Adult	D_C	never	male
D11f	Canis	Feces	OutdoorDog	Old	D_A	long_ago	male
D2f	Canis	Feces	OutdoorDog	Adult	D_B	long_ago	female
W4f	Canis	Feces	Wolf	Old	W_A	recently	male
W13f	Canis	Feces	Wolf	Adult	W_A	long_ago	female
W8f	Canis	Feces	Wolf	Adult	W_B	long_ago	male
W16f	Canis	Feces	Wolf	Old	W_C	recently	male
W5f	Canis	Feces	Wolf	Old	W_D	long_ago	male
W1f	Canis	Feces	Wolf	Adult	W_C	never	male
W7f	Canis	Feces	Wolf	Old	W_B	long_ago	female
W11f	Canis	Feces	Wolf	Young	W_E	long_ago	female
W14f	Canis	Feces	Wolf	Young	W_F	never	female
W12f	Canis	Feces	Wolf	Young	W_E	never	male
W3f	Canis	Feces	Wolf	Young	W_F	never	male
W9f	Canis	Feces	Wolf	Adult	W_G	long_ago	female
W15f	Canis	Feces	Wolf	Old	W_D	long_ago	female
W10f	Canis	Feces	Wolf	Young	W_E	never	male
W6f	Canis	Feces	Wolf	Old	W_B	long_ago	male
W2f	Canis	Feces	Wolf	Old	W_D	long_ago	male
H5s	Homo	Skin	Human	Adult	NA	long_ago	female
H1s	Homo	Skin	Human	Adult	NA	long_ago	female
H6s	Homo	Skin	Human	Adult	NA	recently	female
H2s	Homo	Skin	Human	Adult	NA	long_ago	female
H8s	Homo	Skin	Human	Adult	NA	long_ago	female
H7s	Homo	Skin	Human	Adult	NA	long_ago	female
H4s	Homo	Skin	Human	Adult	NA	never	female
H3s	Homo	Skin	Human	Adult	NA	long_ago	female
H9s	Homo	Skin	Human	Adult	NA	long_ago	female
H10s	Homo	Skin	Human	Adult	NA	never	female
H11s	Homo	Skin	Human	Adult	NA	long_ago	female
H12s	Homo	Skin	Human	Adult	NA	recently	female
PD6s	Canis	Skin	PetDog	Old	NA	long_ago	male
PD4s	Canis	Skin	PetDog	Old	NA	recently	male
PD3s	Canis	Skin	PetDog	Adult	NA	never	male
PD1s	Canis	Skin	PetDog	Old	NA	recently	male
PD2s	Canis	Skin	PetDog	Young	NA	recently	female
PD9s	Canis	Skin	PetDog	Old	NA	long_ago	male
PD7s	Canis	Skin	PetDog	Old	NA	long_ago	male
PD8s	Canis	Skin	PetDog	Adult	NA	never	male
PD11s	Canis	Skin	PetDog	Old	NA	long_ago	male
PD5s	Canis	Skin	PetDog	Young	NA	recently	female
PD10s	Canis	Skin	PetDog	Old	NA	long_ago	female
PD12s	Canis	Skin	PetDog	Young	NA	never	female
D12s	Canis	Skin	OutdoorDog	Adult	D_A	never	male
D15s	Canis	Skin	OutdoorDog	Adult	D_B	recently	male
D8s	Canis	Skin	OutdoorDog	Adult	D_A	long_ago	female
D6s	Canis	Skin	OutdoorDog	Adult	D_C	long_ago	female
D14s	Canis	Skin	OutdoorDog	Old	D_D	long_ago	male
D5s	Canis	Skin	OutdoorDog	Adult	D_C	long_ago	female
D9s	Canis	Skin	OutdoorDog	Adult	D_E	long_ago	male
D3s	Canis	Skin	OutdoorDog	Old	D_E	long_ago	male
D10s	Canis	Skin	OutdoorDog	Adult	D_E	long_ago	female
D13s	Canis	Skin	OutdoorDog	Old	D_D	long_ago	female
D1s	Canis	Skin	OutdoorDog	Adult	D_F	long_ago	male
D7s	Canis	Skin	OutdoorDog	Adult	D_C	long_ago	female
D4s	Canis	Skin	OutdoorDog	Adult	D_C	never	male
D11s	Canis	Skin	OutdoorDog	Old	D_A	long_ago	male
D2s	Canis	Skin	OutdoorDog	Adult	D_B	long_ago	female
W4s	Canis	Skin	Wolf	Old	W_A	recently	male
W13s	Canis	Skin	Wolf	Adult	W_A	long_ago	female
W8s	Canis	Skin	Wolf	Adult	W_B	long_ago	male
W16s	Canis	Skin	Wolf	Old	W_C	recently	male
W5s	Canis	Skin	Wolf	Old	W_D	long_ago	male
W1s	Canis	Skin	Wolf	Adult	W_C	never	male
W7s	Canis	Skin	Wolf	Old	W_B	long_ago	female
W11s	Canis	Skin	Wolf	Young	W_E	long_ago	female
W14s	Canis	Skin	Wolf	Young	W_F	never	female
W12s	Canis	Skin	Wolf	Young	W_E	never	male
W3s	Canis	Skin	Wolf	Young	W_F	never	male
W9s	Canis	Skin	Wolf	Adult	W_G	long_ago	female
W15s	Canis	Skin	Wolf	Old	W_D	long_ago	female
W10s	Canis	Skin	Wolf	Young	W_E	never	male
W6s	Canis	Skin	Wolf	Old	W_B	long_ago	male
W2s	Canis	Skin	Wolf	Old	W_D	long_ago	male